# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: PEWA2
# STATION NAME: PILLAR ROCK
# LATITUDE: 56.56667
# LONGITUDE: -134.33250
# ELEVATION [ft]: 0
# STATE: AK
Station_ID,Date_Time,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,wind_cardinal_direction_set_1d
,,knots,Degrees,knots,Code
PEWA2,2019-08-18T01:57:00Z,17.38,336.0,23.46,NNW
PEWA2,2019-08-18T02:57:00Z,12.17,342.0,15.65,NNW
PEWA2,2019-08-18T03:57:00Z,13.02,342.0,14.77,NNW
PEWA2,2019-08-18T04:57:00Z,13.02,357.0,16.5,N
PEWA2,2019-08-18T05:57:00Z,16.5,360.0,20.86,N
PEWA2,2019-08-18T06:57:00Z,14.77,354.0,19.98,N
PEWA2,2019-08-18T07:57:00Z,17.38,358.0,21.71,N
PEWA2,2019-08-18T08:57:00Z,18.25,5.0,24.34,N
PEWA2,2019-08-18T09:57:00Z,16.5,21.0,20.86,NNE
PEWA2,2019-08-18T10:57:00Z,17.38,13.0,26.07,NNE
PEWA2,2019-08-18T11:57:00Z,20.86,356.0,24.34,N
PEWA2,2019-08-18T12:57:00Z,24.34,351.0,31.28,N
PEWA2,2019-08-18T13:57:00Z,19.98,354.0,28.67,N
PEWA2,2019-08-18T14:57:00Z,19.98,349.0,27.8,N
PEWA2,2019-08-18T15:57:00Z,21.71,345.0,25.19,NNW
PEWA2,2019-08-18T16:57:00Z,19.13,345.0,30.4,NNW
PEWA2,2019-08-18T17:57:00Z,20.86,352.0,26.94,N
PEWA2,2019-08-18T18:57:00Z,25.19,356.0,29.55,N
PEWA2,2019-08-18T19:57:00Z,20.86,1.0,31.28,N
PEWA2,2019-08-18T20:57:00Z,18.25,9.0,27.8,N
PEWA2,2019-08-18T21:57:00Z,20.86,7.0,25.19,N
PEWA2,2019-08-18T22:57:00Z,15.65,356.0,25.19,N
PEWA2,2019-08-18T23:57:00Z,17.38,8.0,23.46,N
PEWA2,2019-08-19T00:57:00Z,16.5,11.0,19.13,N
PEWA2,2019-08-19T01:57:00Z,15.65,14.0,19.98,NNE
PEWA2,2019-08-19T02:57:00Z,15.65,6.0,19.98,N
PEWA2,2019-08-19T03:57:00Z,14.77,13.0,17.38,NNE
PEWA2,2019-08-19T04:57:00Z,8.69,14.0,12.17,NNE
PEWA2,2019-08-19T05:57:00Z,6.96,18.0,7.81,NNE
PEWA2,2019-08-19T06:57:00Z,5.21,59.0,6.08,ENE
PEWA2,2019-08-19T07:57:00Z,6.96,38.0,10.44,NE
PEWA2,2019-08-19T08:57:00Z,5.21,52.0,6.08,NE
PEWA2,2019-08-19T09:57:00Z,4.33,55.0,5.21,NE
PEWA2,2019-08-19T10:57:00Z,5.21,63.0,6.08,ENE
PEWA2,2019-08-19T11:57:00Z,4.33,31.0,5.21,NNE
PEWA2,2019-08-19T12:57:00Z,6.96,2.0,7.81,N
PEWA2,2019-08-19T13:57:00Z,6.08,38.0,7.81,NE
PEWA2,2019-08-19T14:57:00Z,4.33,34.0,5.21,NE
PEWA2,2019-08-19T15:57:00Z,6.08,12.0,7.81,NNE
PEWA2,2019-08-19T16:57:00Z,4.33,17.0,5.21,NNE
PEWA2,2019-08-19T17:57:00Z,3.48,5.0,3.48,N
PEWA2,2019-08-19T18:57:00Z,2.6,276.0,3.48,W
PEWA2,2019-08-19T19:57:00Z,6.96,332.0,9.56,NNW
PEWA2,2019-08-19T20:57:00Z,7.81,327.0,10.44,NNW
PEWA2,2019-08-19T21:57:00Z,8.69,329.0,10.44,NNW
PEWA2,2019-08-19T22:57:00Z,7.81,330.0,10.44,NNW
PEWA2,2019-08-19T23:57:00Z,9.56,329.0,11.29,NNW
PEWA2,2019-08-20T00:57:00Z,6.08,331.0,7.81,NNW
PEWA2,2019-08-20T01:57:00Z,6.08,335.0,15.65,NNW
PEWA2,2019-08-20T02:57:00Z,13.9,333.0,17.38,NNW
PEWA2,2019-08-20T03:57:00Z,11.29,329.0,15.65,NNW
PEWA2,2019-08-20T04:57:00Z,6.08,13.0,10.44,NNE
PEWA2,2019-08-20T05:57:00Z,6.96,9.0,8.69,N
PEWA2,2019-08-20T06:57:00Z,7.81,352.0,9.56,N
PEWA2,2019-08-20T07:57:00Z,10.44,351.0,12.17,N
PEWA2,2019-08-20T08:57:00Z,10.44,341.0,12.17,NNW
PEWA2,2019-08-20T09:57:00Z,8.69,344.0,9.56,NNW
PEWA2,2019-08-20T10:57:00Z,9.56,12.0,10.44,NNE
PEWA2,2019-08-20T11:57:00Z,8.69,348.0,9.56,NNW
PEWA2,2019-08-20T12:57:00Z,6.96,3.0,8.69,N
PEWA2,2019-08-20T13:57:00Z,10.44,347.0,12.17,NNW
PEWA2,2019-08-20T14:57:00Z,6.08,35.0,7.81,NE
PEWA2,2019-08-20T15:57:00Z,6.08,21.0,6.96,NNE
PEWA2,2019-08-20T16:57:00Z,7.81,354.0,10.44,N
PEWA2,2019-08-20T17:57:00Z,6.08,341.0,7.81,NNW
PEWA2,2019-08-20T18:57:00Z,6.96,329.0,7.81,NNW
PEWA2,2019-08-20T19:57:00Z,6.96,349.0,10.44,N
PEWA2,2019-08-20T20:57:00Z,9.56,340.0,13.02,NNW
PEWA2,2019-08-20T21:57:00Z,7.81,344.0,10.44,NNW
